Year,Recipient_Code,Source_Code, Disbursement ,,,,,,CFLI
2017,GY ,1030," 152,202.32 ",,,,,,
2017,HN ,1030," 235,609.90 ",,,,,,
2017,HT ,1030," 35,167.59 ",,,,,,
2017,ID ,1030," 1,397,387.63 ",,,,,,
2017,IN ,1030," 2,185,701.49 ",,,,,,
2017,IQ ,1030," 74,960.87 ",,,,,,
2017,IR ,1030," 30,886.76 ",,,,,,
2017,JM ,1030," 128,022.13 ",,,,,,
2017,JO ,1030," 162,225.48 ",,,,,,
2017,KE ,1030," 425,009.64 ",,,,,,
2017,KG ,1030," 181,215.47 ",,,,,,
2017,KH ,1030," 139,314.33 ",,,,,,
2017,KI ,1030," 80,441.16 ",,,,,,
2017,KM ,1030," 91,353.04 ",,,,,,
2017,KV ,1030," 27,093.62 ",,,,,,
2017,KZ ,1030," 582,518.46 ",,,,,,
2017,LA ,1030," 173,036.50 ",,,,,,
2017,LB ,1030," 97,673.29 ",,,,,,
2017,LC ,1030," 80,903.73 ",,,,,,
2017,LK ,1030," 262,392.87 ",,,,,,
2017,LR ,1030," 54,213.50 ",,,,,,
2017,LS ,1030," 56,896.67 ",,,,,,
2017,LY ,1030," 64,579.42 ",,,,,,
2017,MA ,1030," 468,972.06 ",,,,,,
2017,MD ,1030," 136,559.96 ",,,,,,
2017,ME ,1030," 80,021.10 ",,,,,,
2017,MG ,1030," 385,465.64 ",,,,,,
2017,ML ,1030," 134,915.00 ",,,,,,
2017,MM ,1030," 270,128.30 ",,,,,,
2017,MN ,1030," 181,050.55 ",,,,,,
2017,MR ,1030," 286,620.85 ",,,,,,
2017,MU ,1030," 132,149.58 ",,,,,,
2017,MV ,1030," 63,155.30 ",,,,,,
2017,MW ,1030," 92,639.96 ",,,,,,
2017,MX ,1030," 1,756,372.42 ",,,,,,
2017,MY ,1030," 532,495.32 ",,,,,,
2017,MZ ,1030," 175,416.24 ",,,,,,
2017,NA ,1030," 202,500.60 ",,,,,,
2017,NE ,1030," 78,601.69 ",,,,,,
2017,NG ,1030," 301,878.99 ",,,,,,
2017,NI ,1030," 119,225.66 ",,,,,,
2017,NP ,1030," 157,073.57 ",,,,,,
2017,NR ,1030," 42,987.22 ",,,,,,
2017,NU ,1030," 79,571.77 ",,,,,,
2017,PA ,1030," 172,949.61 ",,,,,,
2017,PE ,1030," 663,324.98 ",,,,,,
2017,PG ,1030," 235,460.35 ",,,,,,
2017,PH ,1030," 552,325.68 ",,,,,,
2017,PK ,1030," 530,249.29 ",,,,,,
2017,PW ,1030," 98,124.31 ",,,,,,
2017,PY ,1030," 237,329.48 ",,,,,,
2017,R10,1030," 3,224,557.87 ",,,,,,
2017,R20,1030," 1,846,279.48 ",,,,,,
2017,R30,1030," 1,746,808.66 ",,,,,,
